index,ID
 SOPHIE MARIE f. Stangebye ARVESEN,peSMA
 PETER CHRISTEN ASBJØRNSEN,pePCA
 TORKEL HALVORSEN ASCHEHOUG,peThAs
 JACOB [HVEDING] ASMUNDSEN,peJaHAs
 HANS RASMUS ASTRUP,peHRA
 [EUPHRASIE HÉLOISE] LYDIE f. Lemercier de Nerville AUBERNON DE NERVILLE,peLA
 [FREDRIK LUDVIG] ANDREAS [VIBE] AUBERT,peAAu
 ELISE [SOFIE] f. Aars AUBERT,peEA
 LUDVIG [MARIBO BENJAMIN] AUBERT,peLMBA
 AUGUSTA/GUSTA,peAug
 OLE ANDREAS BACHKE,peOAB
 HARRIET BACKER,peHaBa
 WALTHER BACMEISTER,peWBa
 FREDERIK [AUGUST WILHELM] BAGGE,peFBa
 MAGNUS [THULSTRUP] BAGGE,peMaBa
 PETER [FREDRIK LEO] BAGGE,pePeBa
 CARL [THOLSTRUP] BAHNSON,peCTB
 HERMANN BAHR,peHeBa
 ALBERT [THEODOR FREDERIK NICOLAI REICHWEIN HUITFELDT] BANG,peABan
 ANTON CHRISTIAN BANG,peACB
 FREDERIK SIEGFRED BANG,peFSB
 HERMAN [JOACHIM] BANG,peHBa
 IVAR [CHRISTIAN] BANG,peIB
 ANDREA BARBARO,peABa
 MARIETTA BARBARO,peMBa
 EMILIE BARDACH,peEBa
 MINNA BARDACH,peMiBa
 SIGMUND BARDACH,peSiBa
 ADOLF [GABRIEL] BARNEKOW,peAGB
 VICTOR BARRUCAND,peVBa
 BASILEIOS DEN STORE,peBas
 BASILEIOS AV ANCYRA,peBasAnc
 FRÉDÉRIC BASTIAT,peFrBa
 C. BAUER,peCBa
 HENRY [FRANCIS] BAUËR,peHBau
 CARL [JOHAN] BEHRENS,peCBe
 J. LAMBERT BELLEFROID,peBell
 BENDIX EDVARD [REUTZ] BENDIXEN,peBEB
 CHRISTINE MARIE f. Kahrs BENDIXEN,peCMBe
 GIUSEPPE BENEDETTINI,peGuB
 VICTORIA [MARIA] f. Bruzelius (pseud. Ernst Ahlgren) BENEDICTSSON,peVBe
 [JOSEF] OSCAR BENSOW,peOBen
 [CARL] OTTO [VALDEMAR] BENZON,peOBe
 CHRESTEN [POULSEN] (Christen) BERG,peChristen
 KAARLO [JOHAN] (Juhani) BERGBOM,peKBe
 ALFRED Freiherr von BERGER,peABer
 BERNHARD KONRAD BERGERSEN,peBKB
 JOHANNES BERGH,peJoBe
 [HAAKON] LUDVIG BERGH,peLB
 BRYNJULF [LARSEN] BERGSLIEN,peBrBer
 KNUD [LARSEN] BERGSLIEN,peKBer
 CLARA [MATHILDE HENRIETTE] BERGSØE,peCMHB
 JOHAN FREDERIK BERGSØE,peJFBerg
 [JØRGEN] VILHELM BERGSØE,peVB
 [JOHAN] CARL [ERNST] BERLING,peBJC
 [FREUND JAKOB] GOTTLOB BERNER,peGBe
 HAGBARD EMANUEL BERNER,peHEB
 BERNHARD,peBern
 CARL pseudonym for A.N. de Saint Aubain BERNHARD,peCaBe
 SARAH (eg. Rosine Bernhard) BERNHARDT,peSB
 THEODOR CHRISTIAN BERNHOFT,peTCB
 GIOVANNI LORENZO BERNINI,peGLB
 ELSA f. Porges (pseud. Ernst Rosmer) BERNSTEIN,peEBe
 MAX (MAXIMILIAN ERNST) BERNSTEIN,peMBe
 CARL BERTRAND,peCaB
 RAGNHILD BERVEN,peRaBe
 OTTOMAR BETA,peOBet
 MORTEN BEYER,peMBey
 GABRIELE VON BIBRA,peGvB
 JOHAN LAURITZ BIDENKAP,peJBiden
 HENNING JUNGHANS BIE,peHJB
 CHARLES DE BIGAULT DE CASANOVE,peCdBdC
 HJALMAR BIGLER,peHjBi
 CARL STEEN ANDERSEN BILLE,peCSAB
" LOUISE [MOGENSINE] f. Ipsen BILLE 
",peLoBi
 JUST [JOHAN] BING,peJBi
 SAMUEL (eg. Siegfried) BING,peSBi
" ELSE SOPHIE JENSDATTER BIRKEDALEN 
",peESJB
" HANS JACOB HENDRICHSSEN (Henriksen) BIRKEDALEN 
",peHJHB
 MARIE f. Bachke BIRKELAND,peMBi
 MICHAEL BIRKELAND,peMB
 HANS BIRKREM,peHBi
 OTTO [FÜRST] VON BISMARCK,peOvB
 [CHRISTIAN GOTTLIEB] VILHELM BISSEN,peCGVBi
 CARL ANTON BJERKNES,peCAB
 WALBORG MARIE BJØRN,peWMB
 BJØRN BJØRNSON,peBBj
 BJØRNSTJERNE [MARTINIUS] BJØRNSON,peBB
 DAGNY BJØRNSON,peDB
 EJNAR BJØRNSON,peEjBj
 ERLING BJØRNSON,peEBj
 INGEBORG [MATHILDE LAURA] f. Aas (Gina Oselio) BJØRNSON,peIAa
 KAROLINE f. Reimers BJØRNSON,peKBj
 PETER [ELIAS] BJØRNSON,pePBj
 AUGUST [THEODOR] BLANCHE,peABla
 PIETRO BLASÈRNA,pePiB
 MARIE BLEHR,peMBl
 OTTO [ALBERT] BLEHR,peOBlehr
 RANDI [MARIE] f. Nilsen BLEHR,peRBle
 [THOMAS LAURITZ CHRISTIAN] FREDERIK BLICH,peDrB
 JENNY [FREDERIKKE] f. Blicher BLICHER-CLAUSEN,peJBC
 ELIAS BLIX,peEBlix
 RAGNVALD BLIX,peRBlix
 CARL [HEINRICH] BLOCH,peCBl
 [HARALD] EMIL BLOCH,peEB
 WILLIAM [EDVARD] BLOCH,peWiB
 HANS ØRN BLOM,peHOB
 OSKAR BLUMENTHAL,peOBl
 JOHANN CASPAR BLUNTSCHLI,peJCBl
 AXEL [GUDBRAND] BLYTT,peABly
 JOHANNE ALIDA f. Blytt BLYTT (Blydt),peJABl
 PETER [MICHAEL] BLYTT (Blydt),pePB
 VALBORG BLYTT,peVBl
 GIROLAMO BOCCARDO,peGiBo
 [CÆSAR] HAKON BOECK,peCHB
 [INGEBORG] SOPHIE f. Meyer BOECK,peSBoe
 THORVALD [OLAF] BOECK,peTB
 ALEKSEJ PETROVITSJ BOGOLJUBOV,peAPB
 CAMILLO BOITO,peCBoi
 ERNST [SEVERIN JENS] BOJESEN,peEBo
 FREDERIK [ENGELHARDT] BOJSEN,peFEB
 JOHAN [CHRISTOFFER] BOKLUND,peJBo
 [ANDREAS] WILHELM BOLIN,peWB
 ANETTE [JØRGINE] f. Gether BOMHOFF,peABom
 KARL [GETHER] BOMHOFF,peKB
 [CAMILLA] MATHILDE f. Fridrichsen BOMHOFF,peMBom
 CLEMENS BONIFACIUS,peBoni
 CAMILLE BONNARD,peCBo
 LÉON [JOSEPH FLORENTIN] BONNAT,peLBo
 ALBERT BONNIER,peAB
" 
 BETTY f. Rubenson BONNIER",peBeBo
 MARIE VON BORCH,peMvB
 AXEL [JUELL] BORCHGREVINK,peABo
 BETTY [JULIE] f. Guldbrandsen BORCHSENIUS,peBBo
 OTTO [FREDERIK CHRISTIAN WILLIAM] BORCHSENIUS,peOB
 CARL [PETER] BORGAARD,peCPB
 PAUL BOTTEN-HANSEN,pePBH
" HANNA (Johanne Evine Karine Elisabeth) f. Sang BOTTEN-HANSEN 
",peJoBH
 [ANTOINE] AUGUST BOURNONVILLE,peAAB
 [ALBERT] EMIL BRACHVOGEL,peAEB
 OTTO (til 1884: Abrahamson) BRAHM,peOBr
 JOHANNES BRAHMS,peJoBr
 ASTRID BRANDES,peAsBr
 EDITH BRANDES,peEdBr
 [CARL] EDVARD [COHEN] BRANDES,peEBr
 EMILIE f. Bendix BRANDES,peEBra
 GEORG [MORRIS COHEN] BRANDES,peGB
 GERDA (Henriette) f. Steinhoff BRANDES,peGBr
 HARRIET f. Salomonsen BRANDES,peHBra
 [JOHANN PHILIPP] OTTO BRAUN,peOBrau
 ANNA f. Broili BRAUNWART,peAnBr
 LORENZ VON BRAUNWART,peLoBr
 ERNST BRAUSEWETTER,peEBrau
 JOHAN (Josva) BRAVO,peJB
 NIELS [ANDREAS] BREDAL,peNB
 FRIEDRICH BRESEMANN,peFBr
 CHRISTOFFER BRINCHMANN,peCBr
 ELISE f. Maschmann BRODTKORB,peElBr
 BERNHARD BRONS,peBBro
 HANS [AUGUST] BRONSART VON SCHELLENDORF,peHBvS
 INGEBORG f. Starck BRONSART VON SCHELLENDORF,peIBS
 TITO A. BRUCENI,peTAB
 MASSI (Masine Steinon) BRUHN,peMBr
" ALEXANDER BRUN 
",peAlB
 ANDREAS [JOHN] BRUN,peAJB
 HANS [SALVESEN] BRUN,peHBru
 JOHAN [CHRISTOPHER] BRUN,peJCBr
 JOHANNES [FINNE] BRUN,peJFB
" LOUISE [LARSINE] f. Guldbrandsen BRUN 
",peLoB
 MICHAEL WALLEM BRUN,peMWB
 JØRGEN BRUNCHORST,peJorBr
 GIORDANO BRUNO,peGBru
 CHRISTOPHER [ARNDT] BRUUN,peChBr
 CONSTANCE BRUUN,peCBruun
 FRANTZ [GOTTLIEB] BRUUN,peFrBru
 ALEKSANDER PAVLOVITSJ BRÜLOV,pePAB
 HANS LIEN BRÆKSTAD,peHLB
 ANTONIA [SOPHIE WILHELMINE] f. Scheel Siewers BRØGGER,peABr
 WALDEMAR CHRISTOFER BRØGGER,peWCB
" LEONTINE [WASILEOWNA] BUCH 
",peLeoB
 OLE JOHAN [SAMUEL] BUCHER,peOJB
 ROBERT BUCHHOLZ,peRB
" HANS [JOHNSEN] BUDAL 
",peHJBu
 KARL [LUDVIG TØRRISEN] BUGGE,peKLTB
 [ELSEUS] SOPHUS BUGGE,peSBu
 EMMERICH BUKOVICS VON KIS-ALACSKA,peEvB
 EDVARD [ISAK HAMBRO] BULL,peEBu
 FRANZ/FRANS BULL,peFBu
 GEORG ANDREAS BULL,peGAB
 OLE [BORNEMANN] BULL,peOBull
 MAX [EUGEN] BURCKHARD,peMEBu
 CHRISTIAN [EGE] BUSCH,peCEB
 HANNA [ANDRESEN] f. Døderlein (pseud. Helene Dickmar) BUTENSCHØN,peHAB
 HANS [GUIDO] VON BÜLOW,peHvB
 MARIO BUZZI,peMaBu
 GEORGE GORDON LORD BYRON,peLBy
 [SAMUEL] FREDERIK BÆTZMANN,peFB
 CARL [HENRIK] BØGH,peCBogh
 ERIK [NICOLAI] BØGH,peEBogh
 JOHAN [WALLACE HAGELSTEEN] BØGH,peJBogh
 VOLLERT [HILLE] BØGH,peVBogh
 GUDBRAND BØHN,peGBo
 WILHELM BÖLSCHE,peWilB
" 
 JOHN (Johan Laurentius Helenus) BÖRJESON 
",peJLHB
 HERMAN [BRUNCHORST] BAARS,peHB
 MARGRETHE ELISABETH f. Konow BAARS,peMEB
 GAIUS IULIUS CAESAR,peCas
 CAESARIUS fra Kappadokia,peCaes
 JACOB [MATHIAS] CALMEYER,peJCa
 [FREDERIK] ALBERT CAMMERMEYER,peAC
 JØRGEN WRIGHT CAPPELEN,peJWC
 SOFIE [LOUISE] CAPPELEN,peSC
 LUIGI CAPUANA,peLCa
 ALBERT CARRÉ,peACar
 [PHILIPP] MORITZ CARRIERE,peMCa
 [HANS] CARL [EMIL] CARSTENSEN,peCCar
" 
 CARL PAUL CASPARI",peCPC
 CATHARINA [MAGDALENA] f. Wahl CASPARI,peCMCas
 [CARL] THEODOR CASPARI,peTC
 RICCARDO (pseudonym for grev Giulio Pullè) CASTELVECCHIO,peRiC
 [PAULUS] HENRIK CAVLING,peHeCa
 FREDERIK [ADOLPH CHRISTENSEN] CETTI,peFrCe
 CHARLOTTE,peCharlotte
 CHARLES CHARRINGTON,peCCha
" 
 [VICTOR EUPHÉMION] PHILARÈTE CHASLES",pePhCh
 MICHEL CHEVALIER,peMiCh
 HJALMAR CHRISTENSEN,peHjCh
 CHRISTIAN 4.,peKongChr4
" CHRISTIAN 7. 
",peKongChr7
 CHRISTIAN 9.,peKongChr9
 [ARNE] EINAR CHRISTIANSEN,peEiChr
 EDVARD CHRISTIE,peEdCh
 KRISTINE [MARIE] f. Gotaas Kildal CHRISTIE,peKrC
 CHRISTIAN [EILERT RASCH] CHRISTOPHERSEN,peChCh
 WILHELM [CHRISTOPHER] CHRISTOPHERSEN,peWC
 LUDWIG CHRONEGK,peLChr
 IGNAZIO CIAMPI,peIgC
" MARCUS TULLIUS CICERO 
",peCic
 JULES (eg. Arsène Armand) CLARETIE,peJCl
" HENRIK NICOLAI CLAUSEN 
",peHNC
 CONRAD CLAUSON,peCCl
 LOUISA CLAUSON,peLC
 PAULA f. Nørregaard CLAUSON,pePCl
 KNUD ANNANIAS CLAUSSEN,peKAC
 GEORGES [BENJAMIN] CLEMENCEAU,peGBC
 [ADOLPHINE] MARIE f. Schmidt COLBAN,peAMC
 [JACOBINE] CAMILLA f. Wergeland COLLETT,peCC
 ROBERT COLLETT,peRoCo
 CHRISTEN [CHRISTIAN DREYER] COLLIN,peChCo
 EDVARD COLLIN,peEC
 JONAS [SIGISMUND] COLLIN,peJC
" [JEAN] EDMUND DE CONINCK 
",peEdC
 MARIE f. Ramlo CONRAD-RAMLO,peMRC
 GÉRARD DE CONTADES,peGdC
 CESARE CORRÈNTI,peCeCo
 THOMAS CORTES,peThCor
 KARL COSTENOBLE,peKCo
 MAURICE COTTIER,peMC
" 
 THOMAS CRAWFURD 
",peTCr
 FRANCESCO CRISPI,peFrC
" JENS [LARSEN] CRONBORG 
",peJLC
 MINKA CZÓBEL,peMvC
 DAHL,peDahl
 [GUSTAV ADOLPH] DOFFEN DAHL,peGAD
 ERICH CHRISTIAN DAHL,peECDa
" 
 JOHAN [ANTHON ABRAHAM FJELDSTED] DAHL",peJAAFD
" 
 JOHAN CHRISTIAN [CLAUSSEN] DAHL 
",peJCD
" JOHAN CHRISTIAN DAHL 
",peJCDa
" 
 D. DANCHERTSEN",peDD
 DANIEL CORNELIUS DANIELSSEN,peDCD
 CHRISTIAN [CONRAD SOPHUS] DANNESKIOLD-SAMSØE,peCCSDS
 DANTE ALIGHIERI,peDan
 ALFRED DARCEL,peADa
 FRITZ [LUDVIG] VON DARDEL,peDard
 RODOLPHE DARZENS,peRD
" 
 CHRISTIAN [GEORG] NATHAN DAVID",peCD
" 
 GEORGINE NICOLINE f. Bramsen DAVID",peGND
 LUDVIG [ERNST] DAVID,peLED
 JOHAN [GERHARD] DE BESCHE,peJdB
 OHAN (i Egypt: Habib Effendi eller Habib Bey) DEMIRGIAN,peDem
 OTTO DEVRIENT,peOtDe
